figure,panel,outcome_id,outcome_label,participant_id,rate,co_me_mean_mm,height_cm,n_observations,n_sequences,speaker_mean,outcome_unit,rate_label,sequence_scope,descriptive_summary
Figure 1,B,log_articulationrate,Articulation rate,sub-652,normal,92.739999999999995,160,119,6,3.7415979036638656,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-705,fast,122.31,168,119,6,4.8693243041092433,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-705,normal,122.31,168,119,6,3.3778468491512603,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-726,fast,112.13,184,119,6,5.3418313899243701,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-726,normal,112.13,184,120,6,4.0982658517333332,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-779,fast,100.66,162,120,6,5.8055887779333339,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-779,normal,100.66,162,120,6,2.9845948232750001,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-787,fast,106.675,169,120,6,5.3256876067999999,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-787,normal,106.675,169,120,6,4.4117198371750002,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-807,fast,106.735,170,119,6,6.328852402521008,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-807,normal,106.735,170,120,6,4.5429370991666662,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-860,fast,106.02500000000001,161,120,6,4.4339333083083341,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-860,normal,106.02500000000001,161,119,6,2.7276016751344536,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-869,fast,114.23999999999999,172,118,6,3.4401297555762711,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-869,normal,114.23999999999999,172,113,6,2.9415020257079645,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-875,fast,121.37,158,120,6,4.7582224536583331,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-875,normal,121.37,158,120,6,3.5863852413083332,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-881,fast,96.234999999999999,160,120,6,6.0693270191666668,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-881,normal,96.234999999999999,160,120,6,2.9167959278583333,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-891,fast,121.755,173,120,6,5.1396628098833332,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-891,normal,121.755,173,119,6,3.1931140899663868,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-987,fast,111.06999999999999,170,119,6,4.9235498509411766,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-987,normal,111.06999999999999,170,120,6,3.3265683870083333,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-989,fast,128.51999999999998,163,60,6,4.2269406485333336,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-989,normal,128.51999999999998,163,120,6,3.6408919698500002,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
